1;pierwsza
2;druga
3;trzecia
4;czwarta
5;piąta
6;szósta
7;siódma
8;ósma
9;dziewiąta
10;dziesiąta
11;jedenasta
12;dwunasta
13;trzynasta
14;czternasta
15;piętnasta
16;szesnasta
17;siedemnasta
18;osiemnasta
19;dziewiętnasta
20;dwudziesta
21;dwudziesta pierwsza
22;dwudziesta druga
23;dwudziesta trzecia
